attraction_id,attraction_name,ratings,no_of_ratings,attraction_type,description,Latitude,Longitude,city,keywords,images_url
183,Masjid Al Rahman Al Rahim,4.8,5582,Mosque,Religious Sites,30.0613062,31.2836887,cairo,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGYw1Met2RrososYZ0I20xaAfdHbprqD4rCpxpNgMpaQLeg6SowCy9P6YtdA&s
184,Bab Zuweila,4.6,884,Historical landmark,Historic Sites  Points of Interest & Landmarks  Castles,30.042704,31.257777,cairo,Historical landmark Historic Sites  Points of Interest & Landmarks  Castles,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLkAqSUN94QdsOPnOiwJSi2OFJr0Xz_xR4KkFOUayQQQVOQUns2-v_syUHzmY&s
185,Kazndar Mosque,4.6,1073,Mosque,Religious Sites,30.0826485,31.2456043,cairo,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyDfpvICmkH4oepkw5edkDAUPTeuY3jm7s330nNNpjGTVA9KsYC_nfsboHmA&s
186,El Qalaa,4.7,86,Historical landmark,,30.0903059,31.2591355,cairo,Historical landmark ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxlbwFtt0z7stZuGJd432bGUnqk8TTcOr-_AGbYzNf6rSfSWtm-B7GplC4_A&s
187,Masjed Al Ashraf Al Gamei Al Kabeer,4.8,836,Mosque,Religious Sites,30.021789,31.2515254,cairo,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqY5h2b7sVUyxpTd4vyxQnvCawLO_X53jPWyWAeBf3shLhT3elYkHW9p49eJQ&s
188,City Of The Dead Cairo Egypt,4.2,137,Cemetery,necropolis,30.0434528,31.272349,cairo,Cemetery necropolis,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMrzWj47iJeIbfv-a1rGWeM9OMj0hmQVGOZxyaPsv_igu2N4MAPcL_8i8hQK0&s
189,Bayt Almaamar Almasry,4.6,286,Historical place,,30.0324873,31.2583005,cairo,Historical place ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7Cumip5z4eDJCQkIscALDXtsHr3vOgGhZl8fmnDwiOYxz6Mxx9uIfLdulmw&s
190,The complex of religions,4.6,297,Religious institution,Religious Sites,30.0065168,31.2322989,cairo,Religious institution Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTj2X8x1hzKs7qfLDHBE2S_GD6c5PPeW8Q1jtH60ijquZqIHOtkL9Y_txyx8N4&s
191,Al-Hosary Mosque,4.7,51594,Mosque,Religious Sites,30.0444196,31.2357116,cairo,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlgzBfdb9NYPvMQT1eGZa_vvwoikI9QzXPULXamomkP_eGVfTO08QgNQFa6w&s
192,Al Rahman Mosque,4.7,190,Mosque,Religious Sites,30.0467775,31.2399571,cairo,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDkx0kUQceggy60ZJPL9hW4Kv6LyI9Xhr0Wb926J01geoB5HfYPKc1SFq-S_4&s
